�FREUNDE|FILMLISTE|2020�;;;;;;;;;
Film-Reviewer Erich und Eckert;;;;;;;;;
;;;;;;;;;
"Film
(Deutscher Titel)";"Film
(Originaltitel)";Ersch. Jahr;Filmreihe;FSK;"L�nge
(min)";Gesehen am; Bewertung ;;
The Open House;The Open House;2018;The Open House;16;94;16.01.2020; 3,00 ;;
Cargo;Cargo;2017;Cargo;16;105;02.04.2020; 3,00 ;;
Bloody Summer - Schrei. Lauf. Stirb (MM);Verano rojo;2017;Verano rojo;18;90;21.02.2020; 2,75 ;;
La influencia - B�ser Einfluss;La influencia;2019;La influencia;16;99;08.03.2020; 2,75 ;;
XX;XX;2017;XX;16;80;11.03.2020; 2,75 ;;
Stay Alive;Stay Alive;2006;Stay Alive;16;97;25.06.2020; 2,75 ;;
Red Island (MM);Red Island;2018;Red Island;16;90;17.05.2019; 2,50 ;;
The Amityville Horror - Eine wahre Ge� (MM);The Amityville Horror;2005;The Amityville Horror;16;89;03.01.2020; 2,50 ;;
Cam;Cam;2018;Cam;16;94;20.01.2020; 2,50 ;;
Hungerford;Hungerford;2014;Hungerford;16;79;07.05.2020; 2,50 ;;
The Book of Fire (MM);Book of Fire;2015;Book of Fire;18;86;16.03.2018; 2,00 ;;
Hungrig;Les Affam�s;2017;Les Affam�s;18;100;23.04.2018; 2,00 ;;
Viking Vengeance (MM);The Head Hunter;2018;The Head Hunter;16;72;31.05.2019; 2,00 ;;
Satanic;Satanic;2016;Satanic;18;85;17.02.2020; 2,00 ;;
The Strangers: Opfernacht;The Strangers: Prey at Night;2018;The Strangers;16;85;02.08.2020; 2,00 ;;
Dark Gods - Die dunkle Seite der G�tter (MM);Black Site;2018;Black Site;16;88;07.02.2020; 1,50 ;;
Romina;Romina;2018;Romina;16;74;28.03.2020; 1,00 ;;
